feature_id	location	type	function	aliases	protein_md5
fig|1463165.1394.peg.1	CCI165_S85_contig_1_1191-939	CDS	Permease of the drug/metabolite transporter (DMT) superfamily		aebad2745b3ce7f315910a822e67c420
fig|1463165.1394.peg.2	CCI165_S85_contig_1_1616+222	CDS	hypothetical protein		c1d78a6c4d465180e32c2302d7001f54
fig|1463165.1394.peg.3	CCI165_S85_contig_1_1965+597	CDS	NAD(P)H dehydrogenase (quinone), Type IV (EC 1.6.5.2)		587f424370c7b7ab88bae2b43250846e
fig|1463165.1394.peg.4	CCI165_S85_contig_1_2582+228	CDS	Uncharacterized protein YccJ		f7e2266231c84eb47b575b03cabf6fbd
fig|1463165.1394.peg.5	CCI165_S85_contig_1_4122-1248	CDS	Glucose-1-phosphatase (EC 3.1.3.10)		2f9486a60f8a66e49256a92ed4c9578d
fig|1463165.1394.peg.6	CCI165_S85_contig_1_4275+450	CDS	Transcriptional regulator, HxlR family		67b981f140967a58bbb7b391fd6e09b4
fig|1463165.1394.peg.7	CCI165_S85_contig_1_4839+789	CDS	Short-chain dehydrogenase/reductase SDR?		3c127d9e1d21d7e54f5039e9a0d48af6
fig|1463165.1394.peg.8	CCI165_S85_contig_1_5868-222	CDS	hypothetical protein		73c013bd72117c1924a1d8e2fd8f1167
fig|1463165.1394.peg.9	CCI165_S85_contig_1_6125+123	CDS	hypothetical protein		863e3d4f6921b343c0829cd36df7b27d
fig|1463165.1394.peg.10	CCI165_S85_contig_1_7757-1392	CDS	Putrescine importer		8d6691fd06ea816db5526024170f9b9a
fig|1463165.1394.peg.11	CCI165_S85_contig_1_9532-1422	CDS	Gamma-glutamyl-putrescine synthetase (EC 6.3.1.11)		f172458b239e0c2c38baa4bfa0476a0e
fig|1463165.1394.peg.12	CCI165_S85_contig_1_9746+765	CDS	Gamma-glutamyl-GABA hydrolase (EC 3.5.1.94)		88d2d5a8455371146e68a3bfc264d3c5
fig|1463165.1394.peg.13	CCI165_S85_contig_1_10536+558	CDS	Putrescine utilization regulator		2ae2643eda767867a3d4ee6f92b6d241
fig|1463165.1394.peg.14	CCI165_S85_contig_1_11414+1488	CDS	Gamma-glutamyl-aminobutyraldehyde dehydrogenase (EC 1.2.1.-)		d8821d5b4534e77db6f3e05b650a9e91
fig|1463165.1394.peg.15	CCI165_S85_contig_1_12904+1281	CDS	Gamma-glutamyl-putrescine oxidase (EC1.4.3.-)		97a2c3db1facde84bd89adec143d5434
fig|1463165.1394.peg.16	CCI165_S85_contig_1_15143-963	CDS	Transcriptional regulator DmlR, LysR family		6da5a02756a731bffb607311b7009e23
fig|1463165.1394.peg.17	CCI165_S85_contig_1_15226+1086	CDS	D-malate dehydrogenase [decarboxylating] (EC 1.1.1.83)		58b223526a2197db5a4c09a2eb37e935
fig|1463165.1394.peg.18	CCI165_S85_contig_1_16834+1608	CDS	Betaine/carnitine/choline transporter (BCCT) family		d2a22e4237b9a1352c6bfc9830b891a4
fig|1463165.1394.peg.19	CCI165_S85_contig_1_18478+1125	CDS	Carnitine monooxygenase, oxygenase component CntA		1e2e8d3f167c7c5dac3f03726a1f5479
fig|1463165.1394.peg.20	CCI165_S85_contig_1_19621+1449	CDS	Succinate-semialdehyde dehydrogenase [NAD(P)+] (EC 1.2.1.16)		e7414db3256aec7409bab5d5e12b9e33
fig|1463165.1394.peg.21	CCI165_S85_contig_1_21126+966	CDS	Carnitine monooxygenase, reductase component CntB		d77adbaf3da8667d39c87d98aa212c71
fig|1463165.1394.peg.22	CCI165_S85_contig_1_24630-2502	CDS	Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)		a44ec232a1db5482c2967d4db15a919c
fig|1463165.1394.peg.23	CCI165_S85_contig_1_24940+1077	CDS	PTS system, fructose-like IIC component FrwC		c5f50f6248d111538389a244a8d7c92b
fig|1463165.1394.peg.24	CCI165_S85_contig_1_26037+321	CDS	PTS system, fructose-like IIB component FrwB		29853baf4dc4f5268a8f0657353c57f5
fig|1463165.1394.peg.25	CCI165_S85_contig_1_26408+2298	CDS	Pyruvate formate-lyase (EC 2.3.1.54)		d78228eed3d7bc79f25fdef66b3bddd9
fig|1463165.1394.peg.26	CCI165_S85_contig_1_28671+876	CDS	Pyruvate formate-lyase activating enzyme (EC 1.97.1.4)		384c7429eae14d3027b6e2e3750bf2ab
fig|1463165.1394.peg.27	CCI165_S85_contig_1_29562+342	CDS	PTS system, fructose-like IIB component FrwD		48fcdd94595edf7f601020a65035ef6e
fig|1463165.1394.peg.28	CCI165_S85_contig_1_30684-768	CDS	phytanoyl-CoA dioxygenase		10bd04a43e6f567045fb07b43da60f75
fig|1463165.1394.peg.29	CCI165_S85_contig_1_30946+834	CDS	Uncharacterized transcriptional regulator YijO, AraC family		4651f027654015acffe0c9cf1c568552
