harmonized_gene_symbol	start	end	contig	#hits>=98	average_identity (>=98)	Other_gene_symbols (>=98)	#hits (all)	average_identity (all)	Other_gene_symbols (all)
aadA1	451.0	1252.0	CCI165_S85_contig_74	6	99.875	"['(AGly)aadA1-pm', 'aadA', 'aadA1', ""ant(3'')-Ia_1"", 'aadA1', 'aadA1']"	6	99.875	"['(AGly)aadA1-pm', 'aadA', 'aadA1', ""ant(3'')-Ia_1"", 'aadA1', 'aadA1']"
dfrA1	1335.0	1808.0	CCI165_S85_contig_74	8	99.8425	['(Tmt)dfrA1', 'dfrA1', 'dfrA1', 'dfrA1_10', 'dfrA1', 'dfrA1', 'dfrA1', 'dfrA1']	8	99.8425	['(Tmt)dfrA1', 'dfrA1', 'dfrA1', 'dfrA1_10', 'dfrA1', 'dfrA1', 'dfrA1', 'dfrA1']
qacEdelta1	1.0	287.0	CCI165_S85_contig_74	1	100.0	['qacEdelta1']	1	100.0	['qacEdelta1']
aph(3'')-Ib	3274.0	4077.0	CCI165_S85_contig_59	9	99.94666666666666	"['(AGly)strA', ""APH(3'')-Ib"", ""aph(3'')-Ib"", ""aph(3'')-Ib_2"", ""aph(3'')-Ib"", ""aph(3'')-Ib"", ""aph(3'')-Ib"", ""aph(3'')-Ib"", ""aph(3'')-Ib""]"	9	99.94666666666666	"['(AGly)strA', ""APH(3'')-Ib"", ""aph(3'')-Ib"", ""aph(3'')-Ib_2"", ""aph(3'')-Ib"", ""aph(3'')-Ib"", ""aph(3'')-Ib"", ""aph(3'')-Ib"", ""aph(3'')-Ib""]"
aph(6)-Id	2438.0	3274.0	CCI165_S85_contig_59	6	99.98	['(AGly)strB', 'APH(6)-Id', 'aph(6)-Id', 'aph(6)-Id_1', 'aph(6)-Id', 'aph(6)-Id']	6	99.98	['(AGly)strB', 'APH(6)-Id', 'aph(6)-Id', 'aph(6)-Id_1', 'aph(6)-Id', 'aph(6)-Id']
(Bla)Penicillin_Binding_Protein_Ecoli	396943.0	398844.0	CCI165_S85_contig_1	0		[]	1	81.6	['(Bla)Penicillin_Binding_Protein_Ecoli']
OmpA	55967.0	57091.0	CCI165_S85_contig_1	0		[]	1	97.96	['OmpA']
msbA	100631.0	102379.0	CCI165_S85_contig_1	0		[]	1	80.96	['msbA']
ramA	531787.0	532140.0	CCI165_S85_contig_1	0		[]	1	80.28	['ramA']
(Bla)ampH	193201.0	194361.0	CCI165_S85_contig_4	0		[]	1	95.95	['(Bla)ampH']
Klebsiella_pneumoniae_acrA	63059.0	64252.0	CCI165_S85_contig_4	0		[]	1	94.9	['Klebsiella_pneumoniae_acrA']
acrB	64275.0	67419.0	CCI165_S85_contig_4	0		[]	1	83.58	['acrB']
