#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/cromwell-executions/amr_analysis/1d1e60f6-0515-4c94-81ab-d72730c1634e/call-run_Abricate/inputs/-24377170/GCF_048590205.1_ASM4859020v1_genomic.fasta.gz	NZ_JBMAZT010000001.1	83474	84465	-	rpoS	2-993/993	========/======	2/2	99.80	92.55	vfdb	NP_461845	(rpoS) RNA polymerase sigma factor RpoS [RpoS (VF0112) - Regulation (VFC0301)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
/cromwell-executions/amr_analysis/1d1e60f6-0515-4c94-81ab-d72730c1634e/call-run_Abricate/inputs/-24377170/GCF_048590205.1_ASM4859020v1_genomic.fasta.gz	NZ_JBMAZT010000001.1	347335	347871	-	gspM	1-537/537	===============	0/0	100.00	94.41	vfdb		(gspM) general secretion pathway protein M [T2SS (VF0333) - Effector delivery system (VFC0086)] [Shigella dysenteriae Sd197]	
/cromwell-executions/amr_analysis/1d1e60f6-0515-4c94-81ab-d72730c1634e/call-run_Abricate/inputs/-24377170/GCF_048590205.1_ASM4859020v1_genomic.fasta.gz	NZ_JBMAZT010000001.1	347873	349051	-	gspL	1-1179/1179	===============	0/0	100.00	96.52	vfdb	WP_000097229	(gspL) general secretion pathway protein L [T2SS (VF0333) - Effector delivery system (VFC0086)] [Shigella dysenteriae Sd197]	
/cromwell-executions/amr_analysis/1d1e60f6-0515-4c94-81ab-d72730c1634e/call-run_Abricate/inputs/-24377170/GCF_048590205.1_ASM4859020v1_genomic.fasta.gz	NZ_JBMAZT010000001.1	349048	350025	-	gspK	1-978/978	===============	0/0	100.00	96.01	vfdb	WP_000633233	(gspK) general secretion pathway protein K [T2SS (VF0333) - Effector delivery system (VFC0086)] [Shigella dysenteriae Sd197]	
/cromwell-executions/amr_analysis/1d1e60f6-0515-4c94-81ab-d72730c1634e/call-run_Abricate/inputs/-24377170/GCF_048590205.1_ASM4859020v1_genomic.fasta.gz	NZ_JBMAZT010000001.1	350022	350627	-	gspJ	1-606/606	===============	0/0	100.00	95.55	vfdb	WP_001250462	(gspJ) general secretion pathway protein J [T2SS (VF0333) - Effector delivery system (VFC0086)] [Shigella dysenteriae Sd197]	
/cromwell-executions/amr_analysis/1d1e60f6-0515-4c94-81ab-d72730c1634e/call-run_Abricate/inputs/-24377170/GCF_048590205.1_ASM4859020v1_genomic.fasta.gz	NZ_JBMAZT010000001.1	350624	350995	-	gspI	1-372/372	===============	0/0	100.00	95.16	vfdb	WP_000820136	(gspI) general secretion pathway protein I [T2SS (VF0333) - Effector delivery system (VFC0086)] [Shigella dysenteriae Sd197]	
/cromwell-executions/amr_analysis/1d1e60f6-0515-4c94-81ab-d72730c1634e/call-run_Abricate/inputs/-24377170/GCF_048590205.1_ASM4859020v1_genomic.fasta.gz	NZ_JBMAZT010000001.1	350992	351555	-	gspH	1-564/564	===============	0/0	100.00	96.81	vfdb	WP_001115126	(gspH) general secretion pathway protein H [T2SS (VF0333) - Effector delivery system (VFC0086)] [Shigella dysenteriae Sd197]	
/cromwell-executions/amr_analysis/1d1e60f6-0515-4c94-81ab-d72730c1634e/call-run_Abricate/inputs/-24377170/GCF_048590205.1_ASM4859020v1_genomic.fasta.gz	NZ_JBMAZT010000001.1	351559	352014	-	gspG	1-456/456	===============	0/0	100.00	94.30	vfdb	WP_001087302	(gspG) general secretion pathway protein G [T2SS (VF0333) - Effector delivery system (VFC0086)] [Shigella dysenteriae Sd197]	
/cromwell-executions/amr_analysis/1d1e60f6-0515-4c94-81ab-d72730c1634e/call-run_Abricate/inputs/-24377170/GCF_048590205.1_ASM4859020v1_genomic.fasta.gz	NZ_JBMAZT010000001.1	352055	353254	-	gspF	1-1200/1200	===============	0/0	100.00	95.83	vfdb	WP_001173470	(gspF) general secretion pathway protein F [T2SS (VF0333) - Effector delivery system (VFC0086)] [Shigella dysenteriae Sd197]	
/cromwell-executions/amr_analysis/1d1e60f6-0515-4c94-81ab-d72730c1634e/call-run_Abricate/inputs/-24377170/GCF_048590205.1_ASM4859020v1_genomic.fasta.gz	NZ_JBMAZT010000001.1	353254	354747	-	gspE	1-1494/1494	===============	0/0	100.00	96.85	vfdb	WP_000249362	(gspE) general secretion pathway protein E [T2SS (VF0333) - Effector delivery system (VFC0086)] [Shigella dysenteriae Sd197]	
