#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/cromwell-executions/amr_analysis/debae9a4-602c-4be3-8604-e592c7d99225/call-run_Abricate/inputs/1729780652/CCI165_S85_contigs.fasta.gz	CCI165_S85_contig_1	396943	398844	+	(Bla)Penicillin_Binding_Protein_Ecoli	1-1902/1902	===============	0/0	100.00	81.60	argannot	CP002291:664439-666340	(Bla)Penicillin_Binding_Protein_Ecoli	
/cromwell-executions/amr_analysis/debae9a4-602c-4be3-8604-e592c7d99225/call-run_Abricate/inputs/1729780652/CCI165_S85_contigs.fasta.gz	CCI165_S85_contig_13	127705	128124	-	(Fcyn)FosA5	1-420/420	===============	0/0	100.00	93.33	argannot	KP143090:1200-1619	(Fcyn)FosA5	
/cromwell-executions/amr_analysis/debae9a4-602c-4be3-8604-e592c7d99225/call-run_Abricate/inputs/1729780652/CCI165_S85_contigs.fasta.gz	CCI165_S85_contig_2	263329	264188	-	(Bla)blaOKP-B-17	1-860/861	===============	0/0	99.88	100.00	argannot	AM850919:25-885	(Bla)blaOKP-B-17	
/cromwell-executions/amr_analysis/debae9a4-602c-4be3-8604-e592c7d99225/call-run_Abricate/inputs/1729780652/CCI165_S85_contigs.fasta.gz	CCI165_S85_contig_4	193201	194361	+	(Bla)ampH	1-1161/1161	===============	0/0	100.00	95.95	argannot	CP003785:4208384-4209544	(Bla)ampH	
/cromwell-executions/amr_analysis/debae9a4-602c-4be3-8604-e592c7d99225/call-run_Abricate/inputs/1729780652/CCI165_S85_contigs.fasta.gz	CCI165_S85_contig_59	2438	3274	-	(AGly)strB	1-837/837	===============	0/0	100.00	100.00	argannot	FJ474091:264-1100	(AGly)strB	
/cromwell-executions/amr_analysis/debae9a4-602c-4be3-8604-e592c7d99225/call-run_Abricate/inputs/1729780652/CCI165_S85_contigs.fasta.gz	CCI165_S85_contig_59	3274	4077	-	(AGly)strA	1-804/804	===============	0/0	100.00	100.00	argannot	AB366441:22458-23261	(AGly)strA	
/cromwell-executions/amr_analysis/debae9a4-602c-4be3-8604-e592c7d99225/call-run_Abricate/inputs/1729780652/CCI165_S85_contigs.fasta.gz	CCI165_S85_contig_63	4351	5166	-	(Sul)sul2	1-816/816	===============	0/0	100.00	100.00	argannot	EU360945:1617-2432	(Sul)sul2	
/cromwell-executions/amr_analysis/debae9a4-602c-4be3-8604-e592c7d99225/call-run_Abricate/inputs/1729780652/CCI165_S85_contigs.fasta.gz	CCI165_S85_contig_74	451	1252	-	(AGly)aadA1-pm	30-831/831	===============	0/0	96.51	99.88	argannot	JQ690540:7968-8798	(AGly)aadA1-pm	
/cromwell-executions/amr_analysis/debae9a4-602c-4be3-8604-e592c7d99225/call-run_Abricate/inputs/1729780652/CCI165_S85_contigs.fasta.gz	CCI165_S85_contig_74	1335	1808	-	(Tmt)dfrA1	1-474/474	===============	0/0	100.00	99.79	argannot	JQ794607:474	(Tmt)dfrA1	
/cromwell-executions/amr_analysis/debae9a4-602c-4be3-8604-e592c7d99225/call-run_Abricate/inputs/1729780652/CCI165_S85_contigs.fasta.gz	CCI165_S85_contig_8	44086	45261	+	(Flq)OqxA	1-1176/1176	===============	0/0	100.00	93.62	argannot	EU370913:46652-47827	(Flq)OqxA	
/cromwell-executions/amr_analysis/debae9a4-602c-4be3-8604-e592c7d99225/call-run_Abricate/inputs/1729780652/CCI165_S85_contigs.fasta.gz	CCI165_S85_contig_8	45285	48437	+	(Flq)OqxBgb	1-3153/3153	===============	0/0	100.00	95.40	argannot	EU370913:47851-51003	(Flq)OqxBgb	
