#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/cromwell-executions/amr_analysis/1d1e60f6-0515-4c94-81ab-d72730c1634e/call-run_Abricate/inputs/-24377170/GCF_048590205.1_ASM4859020v1_genomic.fasta.gz	NZ_JBMAZT010000005.1	85554	86858	+	(Bla)AmpC1_Ecoli	1-1305/1305	===============	0/0	100.00	98.16	argannot	FN649414:2765051-2766355	(Bla)AmpC1_Ecoli	
/cromwell-executions/amr_analysis/1d1e60f6-0515-4c94-81ab-d72730c1634e/call-run_Abricate/inputs/-24377170/GCF_048590205.1_ASM4859020v1_genomic.fasta.gz	NZ_JBMAZT010000011.1	4639	5772	-	(Bla)AmpC2_Ecoli	1-1134/1134	===============	0/0	100.00	97.62	argannot	CP002970:332756-333889	(Bla)AmpC2_Ecoli	
/cromwell-executions/amr_analysis/1d1e60f6-0515-4c94-81ab-d72730c1634e/call-run_Abricate/inputs/-24377170/GCF_048590205.1_ASM4859020v1_genomic.fasta.gz	NZ_JBMAZT010000013.1	81018	82919	-	(Bla)Penicillin_Binding_Protein_Ecoli	1-1902/1902	===============	0/0	100.00	99.42	argannot	CP002291:664439-666340	(Bla)Penicillin_Binding_Protein_Ecoli	
/cromwell-executions/amr_analysis/1d1e60f6-0515-4c94-81ab-d72730c1634e/call-run_Abricate/inputs/-24377170/GCF_048590205.1_ASM4859020v1_genomic.fasta.gz	NZ_JBMAZT010000015.1	128962	130119	+	(Bla)ampH_Ecoli	1-1158/1158	===============	0/0	100.00	99.40	argannot	AP012030:395554-396711	(Bla)ampH_Ecoli	
/cromwell-executions/amr_analysis/1d1e60f6-0515-4c94-81ab-d72730c1634e/call-run_Abricate/inputs/-24377170/GCF_048590205.1_ASM4859020v1_genomic.fasta.gz	NZ_JBMAZT010000023.1	7114	7974	+	(Bla)blaTEM-105	1-861/861	===============	0/0	100.00	99.88	argannot	AF516720:215-1075	(Bla)blaTEM-105	
/cromwell-executions/amr_analysis/1d1e60f6-0515-4c94-81ab-d72730c1634e/call-run_Abricate/inputs/-24377170/GCF_048590205.1_ASM4859020v1_genomic.fasta.gz	NZ_JBMAZT010000041.1	69	593	-	(AGly)sat-2A	1-525/525	===============	0/0	100.00	100.00	argannot	X51546:518-1042	(AGly)sat-2A	
/cromwell-executions/amr_analysis/1d1e60f6-0515-4c94-81ab-d72730c1634e/call-run_Abricate/inputs/-24377170/GCF_048590205.1_ASM4859020v1_genomic.fasta.gz	NZ_JBMAZT010000041.1	688	1161	-	(Tmt)dfrA1	1-474/474	===============	0/0	100.00	100.00	argannot	JQ794607:474	(Tmt)dfrA1	
/cromwell-executions/amr_analysis/1d1e60f6-0515-4c94-81ab-d72730c1634e/call-run_Abricate/inputs/-24377170/GCF_048590205.1_ASM4859020v1_genomic.fasta.gz	NZ_JBMAZT010000045.1	224	883	+	(Phe)catA1	1-660/660	===============	0/0	100.00	99.70	argannot	V00622:244-903	(Phe)catA1	
/cromwell-executions/amr_analysis/1d1e60f6-0515-4c94-81ab-d72730c1634e/call-run_Abricate/inputs/-24377170/GCF_048590205.1_ASM4859020v1_genomic.fasta.gz	NZ_JBMAZT010000045.1	7147	8688	+	(Flq)qepA	1-1536/1536	========/======	1/6	100.00	99.55	argannot	AB263754:7052-8587	(Flq)qepA	
/cromwell-executions/amr_analysis/1d1e60f6-0515-4c94-81ab-d72730c1634e/call-run_Abricate/inputs/-24377170/GCF_048590205.1_ASM4859020v1_genomic.fasta.gz	NZ_JBMAZT010000045.1	11972	12802	+	(Bla)blaOXA-1	1-831/831	===============	0/0	100.00	99.88	argannot	JQ682867:1-831	(Bla)blaOXA-1	
/cromwell-executions/amr_analysis/1d1e60f6-0515-4c94-81ab-d72730c1634e/call-run_Abricate/inputs/-24377170/GCF_048590205.1_ASM4859020v1_genomic.fasta.gz	NZ_JBMAZT010000046.1	1367	2182	+	(Sul)sul2	1-816/816	===============	0/0	100.00	100.00	argannot	EU360945:1617-2432	(Sul)sul2	
/cromwell-executions/amr_analysis/1d1e60f6-0515-4c94-81ab-d72730c1634e/call-run_Abricate/inputs/-24377170/GCF_048590205.1_ASM4859020v1_genomic.fasta.gz	NZ_JBMAZT010000046.1	2243	3046	+	(AGly)strA	1-804/804	===============	0/0	100.00	99.88	argannot	AB366441:22458-23261	(AGly)strA	
/cromwell-executions/amr_analysis/1d1e60f6-0515-4c94-81ab-d72730c1634e/call-run_Abricate/inputs/-24377170/GCF_048590205.1_ASM4859020v1_genomic.fasta.gz	NZ_JBMAZT010000046.1	3046	3882	+	(AGly)strB	1-837/837	===============	0/0	100.00	100.00	argannot	FJ474091:264-1100	(AGly)strB	
