harmonized_gene_symbol	start	end	contig	#hits>=98	average_identity (>=98)	Other_gene_symbols (>=98)	#hits (all)	average_identity (all)	Other_gene_symbols (all)
aadA1	451.0	1252.0	CCI165_S85_contig_74	6	99.875	"['(AGly)aadA1-pm', 'aadA', 'aadA1', ""ant(3'')-Ia_1"", 'aadA1', 'aadA1']"	6	99.875	"['(AGly)aadA1-pm', 'aadA', 'aadA1', ""ant(3'')-Ia_1"", 'aadA1', 'aadA1']"
dfrA1	1335.0	1808.0	CCI165_S85_contig_74	8	99.8425	['(Tmt)dfrA1', 'dfrA1', 'dfrA1', 'dfrA1_10', 'dfrA1', 'dfrA1', 'dfrA1', 'dfrA1']	8	99.8425	['(Tmt)dfrA1', 'dfrA1', 'dfrA1', 'dfrA1_10', 'dfrA1', 'dfrA1', 'dfrA1', 'dfrA1']
qacEdelta1	1.0	287.0	CCI165_S85_contig_74	1	100.0	['qacEdelta1']	1	100.0	['qacEdelta1']
aph(3'')-Ib	3274.0	4077.0	CCI165_S85_contig_59	9	99.94666666666666	"['(AGly)strA', ""APH(3'')-Ib"", ""aph(3'')-Ib"", ""aph(3'')-Ib_2"", ""aph(3'')-Ib"", ""aph(3'')-Ib"", ""aph(3'')-Ib"", ""aph(3'')-Ib"", ""aph(3'')-Ib""]"	9	99.94666666666666	"['(AGly)strA', ""APH(3'')-Ib"", ""aph(3'')-Ib"", ""aph(3'')-Ib_2"", ""aph(3'')-Ib"", ""aph(3'')-Ib"", ""aph(3'')-Ib"", ""aph(3'')-Ib"", ""aph(3'')-Ib""]"
aph(6)-Id	2438.0	3274.0	CCI165_S85_contig_59	6	99.98	['(AGly)strB', 'APH(6)-Id', 'aph(6)-Id', 'aph(6)-Id_1', 'aph(6)-Id', 'aph(6)-Id']	6	99.98	['(AGly)strB', 'APH(6)-Id', 'aph(6)-Id', 'aph(6)-Id_1', 'aph(6)-Id', 'aph(6)-Id']
acrR	62269.0	62916.0	CCI165_S85_contig_4	2	98.61	['acrR', 'acrR']	2	98.61	['acrR', 'acrR']
blaOKP-B-17	263329.0	264188.0	CCI165_S85_contig_2	6	100.0	['(Bla)blaOKP-B-17', 'OKP-B-17', 'blaOKP-B-17', 'blaOKP-B-17_1', 'blaOKP-B-17', 'blaOKP-B-17']	6	100.0	['(Bla)blaOKP-B-17', 'OKP-B-17', 'blaOKP-B-17', 'blaOKP-B-17_1', 'blaOKP-B-17', 'blaOKP-B-17']
oqxB	45285.0	48437.0	CCI165_S85_contig_8	1	99.14	['oqxB']	6	96.12333333333333	['(Flq)OqxBgb', 'oqxB', 'oqxB11', 'OqxB_1', 'oqxB', 'OqxB']
oqxR	48509.0	48985.0	CCI165_S85_contig_8	1	98.74	['oqxR']	1	98.74	['oqxR']
sul2	4351.0	5166.0	CCI165_S85_contig_63	6	100.0	['(Sul)sul2', 'sul2', 'sul2', 'sul2_2', 'sul2', 'sul2']	6	100.0	['(Sul)sul2', 'sul2', 'sul2', 'sul2_2', 'sul2', 'sul2']
emrD	19991.0	21172.0	CCI165_S85_contig_22	1	98.48	['emrD']	1	98.48	['emrD']
