harmonized_gene_symbol	start	end	contig	#hits>=98	average_identity (>=98)	Other_gene_symbols (>=98)	#hits (all)	average_identity (all)	Other_gene_symbols (all)
aadA1	451.0	1252.0	CCI165_S85_contig_74	6	99.88	"['(AGly)aadA1-pm', 'aadA', 'aadA1', ""ant(3'')-Ia_1"", 'aadA1', 'aadA1']"	6	99.88	"['(AGly)aadA1-pm', 'aadA', 'aadA1', ""ant(3'')-Ia_1"", 'aadA1', 'aadA1']"
dfrA1	1335.0	1808.0	CCI165_S85_contig_74	8	99.84	['(Tmt)dfrA1', 'dfrA1', 'dfrA1', 'dfrA1_10', 'dfrA1', 'dfrA1', 'dfrA1', 'dfrA1']	8	99.84	['(Tmt)dfrA1', 'dfrA1', 'dfrA1', 'dfrA1_10', 'dfrA1', 'dfrA1', 'dfrA1', 'dfrA1']
qacEdelta1	1.0	287.0	CCI165_S85_contig_74	1	100.0	['qacEdelta1']	1	100.0	['qacEdelta1']
aph(3'')-Ib	3274.0	4077.0	CCI165_S85_contig_59	9	99.95	"['(AGly)strA', ""APH(3'')-Ib"", ""aph(3'')-Ib"", ""aph(3'')-Ib_2"", ""aph(3'')-Ib"", ""aph(3'')-Ib"", ""aph(3'')-Ib"", ""aph(3'')-Ib"", ""aph(3'')-Ib""]"	9	99.95	"['(AGly)strA', ""APH(3'')-Ib"", ""aph(3'')-Ib"", ""aph(3'')-Ib_2"", ""aph(3'')-Ib"", ""aph(3'')-Ib"", ""aph(3'')-Ib"", ""aph(3'')-Ib"", ""aph(3'')-Ib""]"
aph(6)-Id	2438.0	3274.0	CCI165_S85_contig_59	6	99.98	['(AGly)strB', 'APH(6)-Id', 'aph(6)-Id', 'aph(6)-Id_1', 'aph(6)-Id', 'aph(6)-Id']	6	99.98	['(AGly)strB', 'APH(6)-Id', 'aph(6)-Id', 'aph(6)-Id_1', 'aph(6)-Id', 'aph(6)-Id']
(Bla)Penicillin_Binding_Protein_Ecoli	396943.0	398844.0	CCI165_S85_contig_1	0		[]	1	81.6	['(Bla)Penicillin_Binding_Protein_Ecoli']
OmpA	55967.0	57091.0	CCI165_S85_contig_1	0		[]	1	97.96	['OmpA']
msbA	100631.0	102379.0	CCI165_S85_contig_1	0		[]	1	80.96	['msbA']
ramA	531787.0	532140.0	CCI165_S85_contig_1	0		[]	1	80.28	['ramA']
(Bla)ampH	193201.0	194361.0	CCI165_S85_contig_4	0		[]	1	95.95	['(Bla)ampH']
Klebsiella_pneumoniae_acrA	63059.0	64252.0	CCI165_S85_contig_4	0		[]	1	94.9	['Klebsiella_pneumoniae_acrA']
acrB	64275.0	67419.0	CCI165_S85_contig_4	0		[]	1	83.58	['acrB']
acrR	62269.0	62916.0	CCI165_S85_contig_4	2	98.61	['acrR', 'acrR']	2	98.61	['acrR', 'acrR']
blaOKP-B-17	263329.0	264188.0	CCI165_S85_contig_2	6	100.0	['(Bla)blaOKP-B-17', 'OKP-B-17', 'blaOKP-B-17', 'blaOKP-B-17_1', 'blaOKP-B-17', 'blaOKP-B-17']	6	100.0	['(Bla)blaOKP-B-17', 'OKP-B-17', 'blaOKP-B-17', 'blaOKP-B-17_1', 'blaOKP-B-17', 'blaOKP-B-17']
Klebsiella_pneumoniae_KpnE	220754.0	221116.0	CCI165_S85_contig_2	0		[]	1	89.26	['Klebsiella_pneumoniae_KpnE']
Klebsiella_pneumoniae_KpnF	221103.0	221432.0	CCI165_S85_contig_2	0		[]	1	93.03	['Klebsiella_pneumoniae_KpnF']
marA	284303.0	284671.0	CCI165_S85_contig_2	0		[]	1	81.57	['marA']
fosA	127705.0	128124.0	CCI165_S85_contig_13	0		[]	6	94.44	['(Fcyn)FosA5', 'FosA6', 'fosA9', 'fosA_6', 'fosA', 'fosA']
oqxA	44086.0	45261.0	CCI165_S85_contig_8	0		[]	6	94.21	['(Flq)OqxA', 'oqxA', 'oqxA10', 'OqxA_1', 'oqxA', 'OqxA']
oqxB	45285.0	48437.0	CCI165_S85_contig_8	1	99.14	['oqxB']	6	96.12	['(Flq)OqxBgb', 'oqxB', 'oqxB11', 'OqxB_1', 'oqxB', 'OqxB']
Klebsiella_pneumoniae_KpnG	112303.0	113475.0	CCI165_S85_contig_8	0		[]	1	94.63	['Klebsiella_pneumoniae_KpnG']
Klebsiella_pneumoniae_KpnH	113491.0	115029.0	CCI165_S85_contig_8	0		[]	1	84.34	['Klebsiella_pneumoniae_KpnH']
emrR	111647.0	112156.0	CCI165_S85_contig_8	0		[]	1	83.33	['emrR']
oqxR	48509.0	48985.0	CCI165_S85_contig_8	1	98.74	['oqxR']	1	98.74	['oqxR']
sul2	4351.0	5166.0	CCI165_S85_contig_63	6	100.0	['(Sul)sul2', 'sul2', 'sul2', 'sul2_2', 'sul2', 'sul2']	6	100.0	['(Sul)sul2', 'sul2', 'sul2', 'sul2_2', 'sul2', 'sul2']
ArnT	127290.0	128945.0	CCI165_S85_contig_16	0		[]	1	94.63	['ArnT']
CRP	15138.0	15770.0	CCI165_S85_contig_16	0		[]	1	87.36	['CRP']
H-NS	196545.0	196949.0	CCI165_S85_contig_3	0		[]	1	87.16	['H-NS']
Klebsiella_pneumoniae_OmpK37	6858.0	7982.0	CCI165_S85_contig_35	0		[]	1	92.71	['Klebsiella_pneumoniae_OmpK37']
LptD	20752.0	23100.0	CCI165_S85_contig_12	0		[]	1	95.78	['LptD']
MdtQ	100957.0	102396.0	CCI165_S85_contig_19	0		[]	1	92.92	['MdtQ']
mdtB	37630.0	40752.0	CCI165_S85_contig_19	0		[]	1	80.86	['mdtB']
mdtC	40753.0	43830.0	CCI165_S85_contig_19	0		[]	1	81.9	['mdtC']
acrD	104600.0	107713.0	CCI165_S85_contig_15	0		[]	1	80.64	['acrD']
bacA	50473.0	51294.0	CCI165_S85_contig_11	0		[]	1	80.41	['bacA']
cpxA	41061.0	42427.0	CCI165_S85_contig_21	0		[]	1	81.56	['cpxA']
eptB	135724.0	137447.0	CCI165_S85_contig_7	0		[]	1	94.43	['eptB']
emrD	19991.0	21172.0	CCI165_S85_contig_22	1	98.48	['emrD']	1	98.48	['emrD']
APH(3'')-Ib	3274.0	4077.0	CCI165_S85_contig_59_5	2	99.63	"[""APH(3'')-Ib"", ""APH(3'')-Ib""]"	2	99.63	"[""APH(3'')-Ib"", ""APH(3'')-Ib""]"
APH(6)-Id	2438.0	3274.0	CCI165_S85_contig_59_4	2	99.64	['APH(6)-Id', 'APH(6)-Id']	2	99.64	['APH(6)-Id', 'APH(6)-Id']
ArnT	127290.0	128945.0	CCI165_S85_contig_16_119	0		[]	2	97.28	['ArnT', 'ArnT']
CRP	15138.0	15770.0	CCI165_S85_contig_16_20	2	99.05	['CRP', 'CRP']	2	99.05	['CRP', 'CRP']
Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline	284692.0	285126.0	CCI165_S85_contig_2_280	0		[]	2	83.33	['Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline', 'Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline']
Escherichia coli UhpT with mutation conferring resistance to fosfomycin	10357.0	11748.0	CCI165_S85_contig_22_13 	0		[]	2	95.03	['Escherichia coli UhpT with mutation conferring resistance to fosfomycin', 'Escherichia coli UhpT with mutation conferring resistance to fosfomycin']
Escherichia coli mdfA	181734.0	182966.0	CCI165_S85_contig_1_156	0		[]	1	85.12	['Escherichia coli mdfA']
Escherichia coli soxS with mutation conferring antibiotic resistance	74538.0	74867.0	CCI165_S85_contig_14_65	0		[]	1	89.72	['Escherichia coli soxS with mutation conferring antibiotic resistance']
FosA6	127705.0	128124.0	CCI165_S85_contig_13_127	0		[]	2	97.12	['FosA6', 'FosA6']
Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics	68796.0	70562.0	CCI165_S85_contig_12_58 	0		[]	2	52.2	['Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics', 'Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics']
Klebsiella pneumoniae KpnE	220754.0	221116.0	CCI165_S85_contig_2_215	0		[]	2	95.83	['Klebsiella pneumoniae KpnE', 'Klebsiella pneumoniae KpnE']
Klebsiella pneumoniae KpnF	221103.0	221432.0	CCI165_S85_contig_2_216	2	98.17	['Klebsiella pneumoniae KpnF', 'Klebsiella pneumoniae KpnF']	2	98.17	['Klebsiella pneumoniae KpnF', 'Klebsiella pneumoniae KpnF']
Klebsiella pneumoniae KpnG	112303.0	113475.0	CCI165_S85_contig_8_115	2	98.97	['Klebsiella pneumoniae KpnG', 'Klebsiella pneumoniae KpnG']	2	98.97	['Klebsiella pneumoniae KpnG', 'Klebsiella pneumoniae KpnG']
Klebsiella pneumoniae KpnH	113491.0	115029.0	CCI165_S85_contig_8_116	0		[]	2	93.98	['Klebsiella pneumoniae KpnH', 'Klebsiella pneumoniae KpnH']
Klebsiella pneumoniae OmpK37	6858.0	7982.0	CCI165_S85_contig_35_9	0		[]	2	95.72	['Klebsiella pneumoniae OmpK37', 'Klebsiella pneumoniae OmpK37']
Klebsiella pneumoniae acrR with mutation conferring multidrug antibiotic resistance	62266.0	62916.0	CCI165_S85_contig_4_64 	2	98.61	['Klebsiella pneumoniae acrR with mutation conferring multidrug antibiotic resistance', 'Klebsiella pneumoniae acrR with mutation conferring multidrug antibiotic resistance']	2	98.61	['Klebsiella pneumoniae acrR with mutation conferring multidrug antibiotic resistance', 'Klebsiella pneumoniae acrR with mutation conferring multidrug antibiotic resistance']
LptD	20752.0	23100.0	CCI165_S85_contig_12_21	2	98.85	['LptD', 'LptD']	2	98.85	['LptD', 'LptD']
