#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/cromwell-executions/amr_analysis/debae9a4-602c-4be3-8604-e592c7d99225/call-run_Abricate/inputs/1729780652/CCI165_S85_contigs.fasta.gz	CCI165_S85_contig_1	55967	57091	+	OmpA	1-1125/1125	===============	0/0	100.00	97.96	card	FO834906.1:2175099-2173974	OmpA is a porin that confers resistance to beta-lactam antibiotics.	peptide
/cromwell-executions/amr_analysis/debae9a4-602c-4be3-8604-e592c7d99225/call-run_Abricate/inputs/1729780652/CCI165_S85_contigs.fasta.gz	CCI165_S85_contig_1	100631	102379	-	msbA	1-1749/1749	===============	0/0	100.00	80.96	card	U00096.3:966620-968369	MsbA is a multidrug resistance transporter homolog from E. coli and belongs to a superfamily of transporters that contain an adenosine triphosphate (ATP) binding cassette (ABC) which is also called a nucleotide-binding domain (NBD). MsbA is a member of the MDR-ABC transporter group by sequence homology. MsbA transports lipid A a major component of the bacterial outer cell membrane and is the only bacterial ABC transporter that is essential for cell viability.	nitroimidazole
/cromwell-executions/amr_analysis/debae9a4-602c-4be3-8604-e592c7d99225/call-run_Abricate/inputs/1729780652/CCI165_S85_contigs.fasta.gz	CCI165_S85_contig_1	531787	532140	-	ramA	21-375/375	========/======	1/1	94.40	80.28	card	JQ727668.1:0-375	RamA (resistance antibiotic multiple) is a positive regulator of AcrAB-TolC and leads to high level multidrug resistance in Klebsiella pneumoniae Salmonella enterica and Enterobacter aerugenes increasing the expression of both the mar operon as well as AcrAB. RamA also decreases OmpF expression.	carbapenem;cephalosporin;cephamycin;disinfecting_agents_and_antiseptics;fluoroquinolone;glycylcycline;monobactam;penam;penem;phenicol;rifamycin;tetracycline
/cromwell-executions/amr_analysis/debae9a4-602c-4be3-8604-e592c7d99225/call-run_Abricate/inputs/1729780652/CCI165_S85_contigs.fasta.gz	CCI165_S85_contig_11	50473	51294	-	bacA	1-822/822	===============	0/0	100.00	80.41	card	U00096.3:3204131-3203309	The bacA gene product (BacA) recycles undecaprenyl pyrophosphate during cell wall biosynthesis which confers resistance to bacitracin.	peptide
/cromwell-executions/amr_analysis/debae9a4-602c-4be3-8604-e592c7d99225/call-run_Abricate/inputs/1729780652/CCI165_S85_contigs.fasta.gz	CCI165_S85_contig_12	20752	23100	-	LptD	1-2349/2349	===============	0/0	100.00	95.78	card	CP007727.1:809555-807206	LptD is involved in LPS transport in a ABC Transporter efflux system. It confers resistance to rifamycin aminocoumarin and peptide antibiotics.	aminocoumarin;carbapenem;peptide;rifamycin
/cromwell-executions/amr_analysis/debae9a4-602c-4be3-8604-e592c7d99225/call-run_Abricate/inputs/1729780652/CCI165_S85_contigs.fasta.gz	CCI165_S85_contig_13	127705	128124	-	FosA6	1-420/420	===============	0/0	100.00	93.33	card	KU254579.1:59421-59841	FosA6 is a plasmid-encoded enzyme that confers resistance to fosfomycin in Escherichia coli by breaking the epoxide ring of the molecule.	phosphonic_acid
/cromwell-executions/amr_analysis/debae9a4-602c-4be3-8604-e592c7d99225/call-run_Abricate/inputs/1729780652/CCI165_S85_contigs.fasta.gz	CCI165_S85_contig_15	104600	107713	-	acrD	1-3114/3114	========/======	2/2	99.97	80.64	card	AP009048.1:2586250-2589364	AcrD is an aminoglycoside efflux pump expressed in E. coli. Its expression can be induced by indole and is regulated by baeRS and cpxAR.	aminoglycoside
/cromwell-executions/amr_analysis/debae9a4-602c-4be3-8604-e592c7d99225/call-run_Abricate/inputs/1729780652/CCI165_S85_contigs.fasta.gz	CCI165_S85_contig_16	15138	15770	+	CRP	1-633/633	===============	0/0	100.00	87.36	card	AP009048.1:4154296-4153663	CRP is a global regulator that represses MdtEF multidrug efflux pump expression.	fluoroquinolone;macrolide;penam
/cromwell-executions/amr_analysis/debae9a4-602c-4be3-8604-e592c7d99225/call-run_Abricate/inputs/1729780652/CCI165_S85_contigs.fasta.gz	CCI165_S85_contig_16	127290	128945	-	ArnT	1-1656/1656	===============	0/0	100.00	94.63	card	FO834906.1:304977-306633	ArnT is involved in Cell Wall Biosynthesis specifically 4-amino-4-deoxy-L-arabinose (Ara4N). It confers resistance to peptide antibiotics.	peptide
/cromwell-executions/amr_analysis/debae9a4-602c-4be3-8604-e592c7d99225/call-run_Abricate/inputs/1729780652/CCI165_S85_contigs.fasta.gz	CCI165_S85_contig_19	37630	40752	+	mdtB	1-3123/3123	========/======	2/4	99.94	80.86	card	U00096.1:2155262-2158385	MdtB is a transporter that forms a heteromultimer complex with MdtC to form a multidrug transporter. MdtBC is part of the MdtABC-TolC efflux complex.	aminocoumarin
